congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
115,House,1025,2018-07-11,2,318,228,184,0.027999999999999997,0.045,-0.715,0.106,-0.272,HRES985,Passed,Providing for consideration of the bill (H.R. 50) Unfunded Mandates Information and Transparency Act and providing for consideration of the bill (H.R. 3281) Reclamation Title Transfer and Non-Federal Infrastructure Incentivization Act,On Ordering the Previous Question,
115,House,1026,2018-07-11,2,319,229,183,0.027999999999999997,0.045,-0.715,0.106,-0.272,HRES985,Passed,Providing for consideration of the bill (H.R. 50) Unfunded Mandates Information and Transparency Act and providing for consideration of the bill (H.R. 3281) Reclamation Title Transfer and Non-Federal Infrastructure Incentivization Act,On Agreeing to the Resolution,
115,House,1027,2018-07-11,2,320,187,228,0.062,-0.065,0.61,0.935,-6.447,HR200,Failed,Strengthening Fishing Communities and Increasing Flexibility in Fisheries Management Act,On Motion to Recommit with Instructions,
115,House,1028,2018-07-11,2,321,222,193,0.081,-0.001,-0.165,-0.363,-78.196,HR200,Passed,Strengthening Fishing Communities and Increasing Flexibility in Fisheries Management Act,On Passage,
115,House,1029,2018-07-12,2,322,229,182,0.03,0.055,-0.715,0.099,-0.26899999999999996,HRES989,Passed,"Providing for consideration of the bill (H.R. 6237) to authorize appropriations for fiscal years 2018 and 2019 for intelligence and intelligence-related activities of the United States Government, Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes",On Ordering the Previous Question,
115,House,1030,2018-07-12,2,323,235,178,-0.23399999999999999,0.972,-0.527,-0.444,-17.144000000000002,HRES989,Passed,"Providing for consideration of the bill (H.R. 6237) to authorize appropriations for fiscal years 2018 and 2019 for intelligence and intelligence-related activities of the United States Government, Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes",On Agreeing to the Resolution,
115,House,1031,2018-07-12,2,324,187,230,0.063,-0.07,0.61,0.935,-6.446000000000001,HR3281,Failed,Reclamation Title Transfer and Non-Federal Infrastructure Incentivization Act,On Motion to Recommit with Instructions,
115,House,1032,2018-07-12,2,325,233,184,-0.023,0.034,-0.389,-1.445,-34.21,HR3281,Passed,Reclamation Title Transfer and Non-Federal Infrastructure Incentivization Act,On Passage,
115,House,1033,2018-07-12,2,326,363,54,-0.7709999999999999,0.488,-0.785,-1.857,-92.56200000000001,HR6237,Passed,Matthew Young Pollard Intelligence Authorization Act for Fiscal Years 2018 and 2019,On Passage,
115,House,1034,2018-07-13,2,327,180,219,-0.131,0.991,0.625,0.627,-6.803,HR50,Failed,Unfunded Mandates Information and Transparency Act,On Motion to Recommit with Instructions,
115,House,1035,2018-07-13,2,328,230,168,-0.18100000000000002,0.226,-0.617,-0.857,-13.06,HR50,Passed,Unfunded Mandates Information and Transparency Act,On Passage,
115,House,1036,2018-07-16,2,329,368,0,0.0,0.0,0.0,0.0,0.0,HR4946,Passed,"To designate the facility of the United States Postal Service located at 1075 North Tustin Street in Orange, California, as the “Specialist Trevor A. Win’E Post Office",On Motion to Suspend the Rules and Pass,
115,House,1037,2018-07-16,2,330,368,0,0.0,0.0,0.0,0.0,0.0,HR4960,Passed,"To designate the facility of the United States Postal Service located at 511 East Walnut Street in Columbia, Missouri, as the “Spc. Sterling William Wyatt Post Office Building”.",On Motion to Suspend the Rules and Pass,
115,House,1038,2018-07-17,2,331,230,183,0.028999999999999998,0.046,-0.715,0.10800000000000001,-0.27399999999999997,HRES996,Passed,"Providing for consideration of the bill (H.R. 6147) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Ordering the Previous Question,
115,House,1039,2018-07-17,2,332,229,184,-0.174,0.985,-0.62,-0.816,-11.297,HRES996,Passed,"Providing for consideration of the bill (H.R. 6147) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Agreeing to the Resolution,
115,House,1040,2018-07-17,2,333,406,4,0.0,0.0,0.0,0.0,0.0,S488,Passed,JOBS and Investor Confidence Act of 2018,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1041,2018-07-17,2,334,406,5,0.0,0.0,0.0,0.0,0.0,HR3030,Passed,Elie Wiesel Genocide and Atrocities Prevention Act of 2018,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1042,2018-07-17,2,335,412,0,0.0,0.0,0.0,0.0,0.0,HR4989,Passed,Protecting Diplomats from Surveillance Through Consumer Devices Act,On Motion to Suspend the Rules and Pass,
115,House,1043,2018-07-18,2,336,392,20,0.081,-0.7879999999999999,0.182,-1.5859999999999999,-33.853,HR2,Passed,Agriculture and Nutrition Act of 2018,On Motion to Instruct Conferees,
